UserName,Review,Rating,,Review Title
,This app makes me excited about the green decisions I already make and inspires me to make new ones! The feature of making your posts impressive so more advanced members notice you is hilarious and addicting.,4,,Fun and addicting!
,I really want to like this app but have no idea how to use it as I can&#39;t log in cuz somehow my Facebook won&#39;t let it get access. Is there another way to log in?!,2,,I want to like this but I can't log in!
,"I love it! I like that the point is not to got totally out of your way to go green. I always thought to be green, I would have to completely change my life. I would spend hours searching and researching ways to be eco friendly. I didn&#39;t realize that some of the little things I already was doing make a huge difference. It also gives me a place to inspire others to be eco friendly. Highly recommend.",5,,Great App!
,Great App! Fun &amp; easy to use.,5,,GreenApes
,This is really great app for keeping me and everyone around me green. It does need a bit more work as it is a little slow and buzz feed messages just kicked me out. But aside from that it is great and great fun too.,3,,Inspirational app
,Please revise?,2,,Not possible to register from Hong Kong
,"Wer sich gerne inspirieren und anspornen lassen möchte grüner zu leben ist bei Green Apes richtig. An einigen Ecken muss noch getüftelt werden um es noch ansprechender zu machen, aber das Apes Team hilft immer gerne und entwickelt weiter. Facebookzwang kann grüne Köpfe abschrecken.",4,,Tolle App für grüne Idealisten!
,"die Tatsache, dass es in Deutschland kaum Angebote gibt, wo man die gesammelten Punkte einlösen kann. Kleinere technische Sachen, aber ansonsten eine super Idee und nett umgesetzt",4,,Super bis auf
,"Eine Tolle Idee, in der Umsetzung jedoch eine Katastrophe. Man möchte garnicht damit beginnen, die App zu nutzen.",1,,"Sehr unorganisiert/schlechtes ux Design, unsinnige Funktionen"
,"Molto bella l’idea della Jungla della comunità delle Scimmie Verdi che amano e difendono la natura è l’ambiente. Quello che ci vuole propio nel mondo di attuale dove fino ad ora l’essere umano è vissuto sempre crescendo a tutti i livelli sempre dimenticandosi dell’ambiente in cui vive e da cui proviene. La crescita ora deve essere prima di tutto quella della consapevolezza di dove siamo cosa siamo e dove stiamo andando, pensando prima al bene del prossimo e di chi dovrà ancora venire al mondo quindi al bene del mondo intero. Se ogniuno facesse così saremmo veramente tutti ma proprio tutti felici e in equilibrio con tutto ciò che ci circonda. Bravi!! Ottima idea!!",5,,Utilissima
,"Trovo che GreenApes sia una bellissima idea, un’APP molto utile e interessante per chi tiene all’ambiente e al Pianeta. Mi piacciono molto anche i toni pacati, quasi di complicità, dei suoi utenti!",5,,Great!
,"Ragazzi l’app e il concetto dietro questo progetto è stupendo ma vi prego: fatela funzionare!! Ogni volta che esco dall’app devo rifare il log in, le foto non si vedono bene e in più non caricano bene le pagine e impiega tempo ad andare da una sezione all’altra. Miglioratela perchè se lo merita!",4,,Meriterebbe molti più iscritti!!!
,A great tool to help us all be environmentally conscious.,5,,Environmentally conscious
,"I love the idea and the look of this app. It&#39;s straightforward and easy to use, but it is a bit restrictive when it comes to posting. For example I wanted to post that I switched to using handkerchiefs instead of disposable tissues, but that didn&#39;t fit into any of the available action categories. A new category could be one for reducing waste, eg &#34;I made something with recycled items&#34; or &#34;I switched from disposable to reusable&#34;. This is a great app and I hope it really catches on! Well done :)",4,,Great concept!!
,Very good place to meet health-minded persons)),5,,Nice place
,"Fun to use, cool graphics. It ´s finally fun to do good for our planet ;-)",4,,Really fun & clever
,Deze app laat mij veel originele en leuke ideeën zien van verschillende deelnemers van hoe ik duurzaamheid ik mijn dagelijkse leven kan toepassen. Het is heel internationaal zie veel Posts uit Italië Duitsland en ook de us. Het competitieve element zorgt ervoor dat ik steeds fanatieker wordt! En de designs zijn erg goed. Echt een aanrader !!,5,,Super grappig en origineel !
,I love this application. It helps me to don&#39;t loose motivation and also to learn from other Apes. Due to my actual rhythm of life I am not so active in the application but I love it!,5,,Review
,Hacer tu vida más sostenible jugando y conociendo iniciativas a nivel mundial ayuda a seguir esforzándose en esta elección personal de vida,5,,Buena aplicación
,App per impegnarsi in azioni sostenibili e imparare degli altri,5,,Bella app
,"I love this! I just wish there was a button for drinks when documenting my food, since almost everything I drink is organic…",5,,The best
,"This app is very promising, good fun, for a good cause. I hope to see a growing number of community members in the near future.",4,,Good fun!
,I really want to use the app but it crashes almost doing anything at all.,1,,Crashes all the time
,Very inspiring!,5,,Funtastic app